                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2723,                 4.0672,                 4.2077,                0.00429,                0.40606,                0.00616,                0.00225,                 2.9899,                   4.03,                 4.1197,             0.00040698,             0.00040698,             0.00040698
                      2,                 3.1752,                 3.5425,                 3.8987,                0.00464,                0.44275,                0.01677,                0.00391,                 3.1216,                 3.8607,                 4.0806,             0.00081549,             0.00081549,             0.00081549
                      3,                 2.8826,                 3.3074,                 3.4924,                0.81607,                0.06473,                0.06618,                0.01061,                 3.0376,                 4.6351,                 3.8751,              0.0012158,              0.0012158,              0.0012158
                      4,                 2.5834,                  3.113,                  3.182,                0.56644,                0.14021,                0.10496,                0.03986,                 2.5394,                 6.9048,                 3.5582,              0.0012129,              0.0012129,              0.0012129
                      5,                 2.4011,                 2.9252,                 2.9605,                0.17217,                0.35128,                0.14254,                0.04853,                 2.3125,                 4.0125,                 3.0972,              0.0012129,              0.0012129,              0.0012129
                      6,                 2.3411,                 2.8157,                 2.8617,                0.70708,                0.19256,                0.23561,                0.09919,                 2.2324,                 3.2754,                  2.885,              0.0012005,              0.0012005,              0.0012005
                      7,                 2.1377,                 2.5877,                  2.653,                 0.4937,                0.33386,                0.30242,                0.14111,                 2.0912,                 3.0568,                 2.7521,              0.0011881,              0.0011881,              0.0011881
                      8,                 2.0555,                 2.4316,                 2.5464,                0.53477,                0.33237,                0.32944,                0.15593,                 2.0259,                 2.7218,                 2.6662,              0.0011757,              0.0011757,              0.0011757
                      9,                 1.9662,                 2.2912,                 2.4522,                0.53386,                0.46233,                0.44119,                0.23839,                 1.8749,                 2.2096,                 2.5133,              0.0011634,              0.0011634,              0.0011634
                     10,                 1.8807,                 2.1366,                 2.3828,                0.56824,                0.49674,                0.53866,                 0.3166,                 1.8206,                  2.438,                 2.3818,               0.001151,               0.001151,               0.001151
                     11,                 1.8394,                 2.0928,                 2.3076,                0.55163,                0.55056,                0.53674,                0.23399,                 1.9313,                 2.0464,                  2.524,              0.0011386,              0.0011386,              0.0011386
                     12,                 1.7626,                 2.0181,                 2.2434,                0.60655,                0.49438,                0.56523,                0.28658,                 1.8202,                  2.044,                 2.3486,              0.0011263,              0.0011263,              0.0011263
                     13,                 1.6609,                 1.9331,                 2.1589,                0.70642,                0.57339,                0.63806,                 0.3564,                 1.6658,                 1.7425,                 2.2824,              0.0011139,              0.0011139,              0.0011139
                     14,                 1.6622,                 1.8509,                 2.1475,                0.72235,                0.55532,                0.65556,                0.38745,                 1.6111,                 1.9295,                 2.1578,              0.0011015,              0.0011015,              0.0011015
                     15,                  1.599,                 1.7234,                 2.0531,                0.47069,                0.46786,                0.46468,                0.27063,                 1.6594,                 2.0545,                 2.2825,              0.0010891,              0.0010891,              0.0010891
                     16,                 1.5552,                  1.726,                 2.0399,                0.67291,                0.62758,                0.66064,                0.38339,                 1.5955,                 1.6198,                 2.1953,              0.0010768,              0.0010768,              0.0010768
                     17,                 1.5537,                 1.6652,                 2.0184,                0.76069,                0.58418,                0.68731,                0.43873,                 1.4954,                  1.616,                 2.0387,              0.0010644,              0.0010644,              0.0010644
                     18,                 1.5193,                 1.6754,                 1.9834,                0.73209,                0.63115,                 0.7298,                0.44346,                 1.4674,                 1.5835,                 2.0255,               0.001052,               0.001052,               0.001052
                     19,                 1.4709,                 1.5969,                 1.9466,                0.79779,                0.66781,                0.74585,                0.46305,                 1.4304,                 1.4807,                 2.0186,              0.0010396,              0.0010396,              0.0010396
                     20,                 1.4192,                 1.5079,                 1.8874,                0.75148,                0.69593,                  0.775,                0.48129,                 1.4144,                 1.4066,                 2.0021,              0.0010273,              0.0010273,              0.0010273
                     21,                 1.4349,                 1.5131,                 1.8993,                0.71434,                0.66393,                0.72084,                0.45334,                 1.4897,                 1.4995,                 2.0425,              0.0010149,              0.0010149,              0.0010149
                     22,                  1.396,                  1.473,                 1.8737,                 0.8182,                0.69725,                0.78671,                0.49377,                 1.4368,                   1.35,                 1.9426,              0.0010025,              0.0010025,              0.0010025
                     23,                 1.3605,                   1.41,                 1.8263,                0.73895,                0.68008,                0.75939,                0.45784,                 1.5039,                 1.5457,                 2.1044,             0.00099013,             0.00099013,             0.00099013
                     24,                 1.3704,                 1.4027,                 1.8395,                0.77708,                 0.7125,                 0.7768,                0.47884,                 1.4272,                 1.4186,                 1.9597,             0.00097775,             0.00097775,             0.00097775
                     25,                  1.375,                 1.3877,                 1.8108,                0.84645,                0.72032,                0.80588,                0.50329,                 1.4586,                 1.3069,                 1.9867,             0.00096537,             0.00096537,             0.00096537
                     26,                 1.3334,                 1.3691,                 1.7942,                0.82747,                0.72709,                0.80791,                0.51836,                  1.299,                 1.2738,                 1.8661,               0.000953,               0.000953,               0.000953
